,city,job_title,company_name,location,summary,rating
108,Atlanta,Sr. Big Data Developer (HBASE / Hadoop / Spark / Scala),Capgemini,N/A,Experience with integration of data from multiple data sources.,3.8
109,Atlanta,Big Data/Teradata developer,Lantern Info,N/A,"Experience in Design and build of the infrastructure for data extraction, preparation, and loading of data from a variety of sources using technology such as…",N/A
110,Atlanta,Software Developer - Big Data Development,State Farm,N/A,We offer competitive benefits and pay with the potential for an annual financial award based on both individual and enterprise performance.,3.7
111,Atlanta,"Sr. Software Application Developer, Big Data",PlaceIQ,N/A,"We love building regression models, classification algorithms, data visualizations, and geo-spatial clustering, within our location-data platform, which…",3.9
112,Atlanta,Big Data SME,Enhance IT,N/A,"Hands on experience in big data technologies including Scala or Spark, Hadoop, Hive, HDFS.",3.1
113,Atlanta,Data Engineering Intern,Assurant,N/A,"Knowledge of modern enterprise data architectures, design patterns, and data toolsets and the ability to apply them.",3.5
114,Atlanta,Data Engineer,Expedite Technologies Solutions,N/A,Guide other developers in the team.,N/A
115,Atlanta,Entry Level Hadoop Developer,Core Soft Tech,N/A,"We give a quick online orientation on Hadoop Course Content Introduction to Hadoop, Introduction to Big Data Hadoop Distributed File System (HDFS), Map Reduce,…",N/A
116,Atlanta,Junior Data Engineer (AWS),Invesco,N/A,"1-2 years of experience in data modeling, data warehousing, and big data architectures.",3.9
117,Atlanta,Software Engineer I/II,Microsoft,N/A,"You will have opportunities to work on multiple layers of the technology stack, ranging from customer-focused user experience work, building scalable…",4.2
118,Atlanta,Developer,Truist Financial,N/A,Reporting/dashboard concepts and big data concepts.,3.6
119,Atlanta,Web Application Developer Intern - C#/SQL,SimplePart,N/A,"This is a hands-on position, working in short (two week) sprints building big, meaningful things with a direct, immediate and visible impact.",2.3
120,Atlanta,Entry Level Data Engineer: 2021 (Watson Advertising & Weather),IBM,N/A,Work will include coding analytical processes of very large scale data processing streams and machine learning pipelines feeding a broad data platform of…,3.9
